|     | gender   | race/ethnicity                     | parental level of education   | lunch        | test preparation   |   math score |   reading score |   writing score |   average score |
|:---:|:---------|:-----------------------------------|:------------------------------|:-------------|:-------------------|-------------:|----------------:|----------------:|----------------:|
|  0  | female   | White - Irish                      | bachelor's degree             | standard     | none               |           72 |              72 |              74 |         72.6667 |
|  1  | female   | White - Any other White background | some college                  | standard     | completed          |           69 |              90 |              88 |         82.3333 |
|  2  | female   | White - Irish                      | master's degree               | standard     | none               |           90 |              95 |              93 |         92.6667 |
|  3  | male     | White - British                    | associate's degree            | free/reduced | none               |           47 |              57 |              44 |         49.3333 |
|  4  | male     | White - Any other White background | some college                  | standard     | none               |           76 |              78 |              75 |         76.3333 |
|  5  | female   | White - Irish                      | associate's degree            | standard     | none               |           71 |              83 |              78 |         77.3333 |
|  6  | female   | White - Irish                      | some college                  | standard     | completed          |           88 |              95 |              92 |         91.6667 |
|  7  | male     | White - Irish                      | some college                  | free/reduced | none               |           40 |              43 |              39 |         40.6667 |
|  8  | male     | Mixed - White and Black Caribbean  | high school                   | free/reduced | completed          |           64 |              64 |              67 |         65      |
|  9  | female   | White - Irish                      | high school                   | free/reduced | none               |           38 |              60 |              50 |         49.3333 |
| 10  | male     | White - Any other White background | associate's degree            | standard     | none               |           58 |              54 |              52 |         54.6667 |
| 11  | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           40 |              52 |              43 |         45      |
| 12  | female   | White - Irish                      | high school                   | standard     | none               |           65 |              81 |              73 |         73      |
| 13  | male     | White - British                    | some college                  | standard     | completed          |           78 |              72 |              70 |         73.3333 |
| 14  | female   | White - British                    | master's degree               | standard     | none               |           50 |              53 |              58 |         53.6667 |
| 15  | female   | White - Any other White background | some high school              | standard     | none               |           69 |              75 |              78 |         74      |
| 16  | male     | White - Any other White background | high school                   | standard     | none               |           88 |              89 |              86 |         87.6667 |
| 17  | female   | White - Irish                      | some high school              | free/reduced | none               |           18 |              32 |              28 |         26      |
| 18  | male     | White - Any other White background | master's degree               | free/reduced | completed          |           46 |              42 |              46 |         44.6667 |
| 19  | female   | White - Any other White background | associate's degree            | free/reduced | none               |           54 |              58 |              61 |         57.6667 |
| 20  | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           66 |              69 |              63 |         66      |
| 21  | female   | White - Irish                      | some college                  | free/reduced | completed          |           65 |              75 |              70 |         70      |
| 22  | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           44 |              54 |              53 |         50.3333 |
| 23  | female   | White - Any other White background | some high school              | standard     | none               |           69 |              73 |              73 |         71.6667 |
| 24  | male     | Mixed - White and Black Caribbean  | bachelor's degree             | free/reduced | completed          |           74 |              71 |              80 |         75      |
| 25  | male     | White - British                    | master's degree               | free/reduced | none               |           73 |              74 |              72 |         73      |
| 26  | male     | White - Irish                      | some college                  | standard     | none               |           69 |              54 |              55 |         59.3333 |
| 27  | female   | White - Any other White background | bachelor's degree             | standard     | none               |           67 |              69 |              75 |         70.3333 |
| 28  | male     | White - Any other White background | high school                   | standard     | none               |           70 |              70 |              65 |         68.3333 |
| 29  | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           62 |              70 |              75 |         69      |
| 30  | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           69 |              74 |              74 |         72.3333 |
| 31  | female   | White - Irish                      | some college                  | standard     | none               |           63 |              65 |              61 |         63      |
| 32  | female   | Mixed - White and Black African    | master's degree               | free/reduced | none               |           56 |              72 |              65 |         64.3333 |
| 33  | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           40 |              42 |              38 |         40      |
| 34  | male     | Mixed - White and Black African    | some college                  | standard     | none               |           97 |              87 |              82 |         88.6667 |
| 35  | male     | Mixed - White and Black African    | associate's degree            | standard     | completed          |           81 |              81 |              79 |         80.3333 |
| 36  | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           74 |              81 |              83 |         79.3333 |
| 37  | female   | Mixed - White and Black Caribbean  | some high school              | free/reduced | none               |           50 |              64 |              59 |         57.6667 |
| 38  | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | completed          |           75 |              90 |              88 |         84.3333 |
| 39  | male     | White - Irish                      | associate's degree            | free/reduced | none               |           57 |              56 |              57 |         56.6667 |
| 40  | male     | White - Any other White background | associate's degree            | free/reduced | none               |           55 |              61 |              54 |         56.6667 |
| 41  | female   | White - Any other White background | associate's degree            | standard     | none               |           58 |              73 |              68 |         66.3333 |
| 42  | female   | White - Irish                      | associate's degree            | standard     | none               |           53 |              58 |              65 |         58.6667 |
| 43  | male     | White - Irish                      | some college                  | free/reduced | completed          |           59 |              65 |              66 |         63.3333 |
| 44  | female   | Mixed - White and Black African    | associate's degree            | free/reduced | none               |           50 |              56 |              54 |         53.3333 |
| 45  | male     | White - Irish                      | associate's degree            | standard     | none               |           65 |              54 |              57 |         58.6667 |
| 46  | female   | White - British                    | associate's degree            | standard     | completed          |           55 |              65 |              62 |         60.6667 |
| 47  | female   | White - Any other White background | high school                   | standard     | none               |           66 |              71 |              76 |         71      |
| 48  | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | completed          |           57 |              74 |              76 |         69      |
| 49  | male     | White - Any other White background | high school                   | standard     | completed          |           82 |              84 |              82 |         82.6667 |
| 50  | male     | Mixed - White and Black African    | some college                  | standard     | none               |           53 |              55 |              48 |         52      |
| 51  | male     | Mixed - White and Black African    | associate's degree            | free/reduced | completed          |           77 |              69 |              68 |         71.3333 |
| 52  | male     | White - Any other White background | some college                  | standard     | none               |           53 |              44 |              42 |         46.3333 |
| 53  | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           88 |              78 |              75 |         80.3333 |
| 54  | female   | White - Any other White background | some high school              | free/reduced | completed          |           71 |              84 |              87 |         80.6667 |
| 55  | female   | White - Any other White background | high school                   | free/reduced | none               |           33 |              41 |              43 |         39      |
| 56  | female   | Mixed - White and Black African    | associate's degree            | standard     | completed          |           82 |              85 |              86 |         84.3333 |
| 57  | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           52 |              55 |              49 |         52      |
| 58  | male     | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           58 |              59 |              58 |         58.3333 |
| 59  | female   | White - Any other White background | some high school              | free/reduced | none               |            0 |              17 |              10 |          9      |
| 60  | male     | Mixed - White and Black African    | bachelor's degree             | free/reduced | completed          |           79 |              74 |              72 |         75      |
